Buffer No.,Packet,Start Time (s),End Time (s),ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,IDE
7,1,-0.249926659432276,-0.249247558232124,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,2,-0.241062659682967,-0.240003398493567,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,3,-0.239839235717568,-0.239178566516894,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,4,-0.231219459961352,-0.230081606774174,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,5,-0.230003971995728,-0.229324870795576,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,6,-0.221122564246912,-0.220063303057511,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,7,-0.219864324282497,-0.219203655081823,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,8,-0.211018756532667,-0.209880903345489,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,9,-0.209742596568759,-0.209063495368607,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,10,-0.200913412818466,-0.199853383629087,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,11,-0.199628292854811,-0.198968135654123,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,12,-0.190809349104228,-0.18967149591705,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,13,-0.189559301139582,-0.188880199939429,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,14,-0.180964357382663,-0.179905096193263,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,15,-0.179645445419965,-0.178984776219291,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,16,-0.170860549668419,-0.169722696481241,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,17,-0.169671429702049,-0.168992328501897,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,18,-0.160755717954203,-0.159696200764809,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,19,-0.159401733992496,-0.158741064791822,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,20,-0.150643206240204,-0.149505097053033,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,21,-0.149253894279497,-0.148574793079344,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,22,-0.140797958518647,-0.139738697329246,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,23,-0.139591686552762,-0.138931017352089,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,24,-0.130694150804402,-0.129556041617231,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,25,-0.129417734840501,-0.128738633640349,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,26,-0.120588551090208,-0.119529289900807,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,27,-0.119364871124816,-0.118704201924142,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,28,-0.110476039376209,-0.109337930189038,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,29,-0.10922573541157,-0.108546634211418,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,30,-0.100370695662008,-0.099311434472607,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,31,-0.0991296076971082,-0.0984689384964345,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,32,-0.0905272399403998,-0.089389130753229,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,33,-0.089268231976007,-0.0885891307758545,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,34,-0.0804218962261984,-0.0793623790368049,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,35,-0.0791285842627758,-0.078467915062102,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,36,-0.0703178325119609,-0.0691797233247901,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,37,-0.0690846805468368,-0.0684055793466843,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,38,-0.060211976797774,-0.0591527156083732,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,39,-0.0589015128348365,-0.0582410996341555,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,40,-0.0503513690766511,-0.049213515889473,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,41,-0.0489707611156973,-0.0482916599155448,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,42,-0.0401935453639339,-0.0391342841745331,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,43,-0.0389440093992732,-0.0382833401985995,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
